action_name,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,o4-mini-2025-04-16,o4-mini-2025-04-16,o4-mini-2025-04-16,o4-mini-2025-04-16,frequency
,default,no-user,oracle-plan,oracle-plan-no-user,default,no-user,oracle-plan,oracle-plan-no-user,
disconnect_vpn,0.765625,0.90625,0.953125,0.953125,0.6875,0.921875,0.984375,1.0,0.031007751937984496
enable_roaming,0.31097560975609756,0.7378048780487805,0.4695121951219512,0.8109756097560976,0.42073170731707316,0.8658536585365854,0.926829268292683,0.9817073170731707,0.07945736434108527
grant_app_permission,0.8214285714285714,0.9744897959183674,0.9336734693877551,0.923469387755102,0.7193877551020408,0.7857142857142857,0.9744897959183674,1.0,0.09496124031007752
make_payment,0.9583333333333334,1.0,1.0,1.0,0.9583333333333334,0.9166666666666666,1.0,1.0,0.011627906976744186
reboot_device,0.984375,0.96875,1.0,0.9375,0.953125,0.8359375,0.9921875,1.0,0.06201550387596899
refuel_data,0.71,0.715,0.54,0.67,0.49,0.51,0.915,0.79,0.09689922480620156
reseat_sim_card,0.9916666666666667,1.0,1.0,0.9833333333333333,1.0,1.0,0.9666666666666667,1.0,0.05813953488372093
reset_apn_settings,0.9903846153846154,0.9903846153846154,1.0,0.9230769230769231,0.9230769230769231,0.8076923076923077,0.9903846153846154,1.0,0.050387596899224806
resume_line,1.0,1.0,1.0,1.0,0.9583333333333334,0.9166666666666666,1.0,1.0,0.011627906976744186
send_payment_request,1.0,1.0,1.0,1.0,0.9583333333333334,0.9166666666666666,1.0,1.0,0.011627906976744186
set_network_mode_preference,0.9151785714285714,0.9732142857142857,0.9955357142857143,1.0,0.9241071428571429,0.9732142857142857,1.0,1.0,0.10852713178294573
toggle_airplane_mode,0.995,0.99,1.0,0.995,1.0,1.0,0.995,1.0,0.09689922480620156
toggle_data,0.9451219512195121,0.975609756097561,0.9207317073170732,0.9939024390243902,0.9939024390243902,1.0,0.9878048780487805,1.0,0.07945736434108527
toggle_data_saver_mode,0.8421052631578947,0.9342105263157895,0.9736842105263158,0.9868421052631579,0.7894736842105263,0.9736842105263158,1.0,1.0,0.03682170542635659
toggle_roaming,0.3488372093023256,0.8430232558139535,0.4127906976744186,0.8837209302325582,0.5232558139534884,0.9941860465116279,0.9418604651162791,0.9825581395348837,0.08333333333333333
toggle_wifi_calling,0.85,0.58,0.86,0.65,0.92,0.92,0.99,1.0,0.04844961240310078
transfer_to_human_agents,0.825,0.9,0.725,0.9125,1.0,0.9875,1.0,1.0,0.03875968992248062
