action_name,claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,o4-mini-2025-04-16,o4-mini-2025-04-16,o4-mini-2025-04-16,o4-mini-2025-04-16,frequency
,default,default,no-user,oracle-plan,oracle-plan-no-user,default,default,no-user,oracle-plan,oracle-plan-no-user,
disconnect_vpn,0.828125,0.7777777777777778,0.921875,1.0,1.0,0.8983050847457628,0.765625,1.0,1.0,1.0,0.030966103350590992
enable_roaming,0.4451219512195122,0.16666666666666666,0.9939024390243902,0.6036585365853658,1.0,0.3288590604026846,0.34146341463414637,0.9634146341463414,0.9878048780487805,1.0,0.07927127088014066
grant_app_permission,0.5663265306122449,0.764102564102564,0.8775510204081632,0.9948979591836735,0.9336734693877551,0.8418079096045198,0.8367346938775511,1.0,0.9693877551020408,1.0,0.09475432255543616
make_payment,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.011722184233662206
reboot_device,0.96875,0.9765625,0.75,1.0,1.0,0.967479674796748,0.9609375,0.8125,0.984375,1.0,0.06227410374133047
refuel_data,0.875,0.675,0.505,0.675,0.66,0.5054347826086957,0.4,0.4,0.995,0.985,0.0969033896649409
reseat_sim_card,0.8416666666666667,0.9916666666666667,0.8916666666666667,1.0,0.9333333333333333,0.9459459459459459,0.9416666666666667,0.9916666666666667,0.975,1.0,0.0581713392595487
reset_apn_settings,0.8365384615384616,0.9134615384615384,0.8942307692307693,1.0,1.0,0.9090909090909091,0.8269230769230769,0.7692307692307693,0.9807692307692307,1.0,0.05055191950766826
resume_line,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,0.011722184233662206
send_payment_request,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,0.011722184233662206
set_network_mode_preference,0.8973214285714286,0.995475113122172,0.9732142857142857,1.0,0.9955357142857143,0.91,0.9285714285714286,1.0,1.0,1.0,0.10808830712122693
toggle_airplane_mode,0.92,1.0,0.92,0.99,1.0,0.9619565217391305,0.935,0.995,0.995,1.0,0.0969033896649409
toggle_data,0.8719512195121951,1.0,0.9512195121951219,1.0,1.0,0.9527027027027027,0.9573170731707317,1.0,0.9939024390243902,1.0,0.07932011331444759
toggle_data_saver_mode,0.8289473684210527,0.8421052631578947,0.881578947368421,1.0,1.0,0.927536231884058,0.9473684210526315,1.0,1.0,1.0,0.03677835303311517
toggle_roaming,0.37790697674418605,0.08823529411764706,0.7558139534883721,0.686046511627907,0.9767441860465116,0.3416149068322981,0.29651162790697677,0.9302325581395349,0.9825581395348837,0.9941860465116279,0.08337403536192244
toggle_wifi_calling,0.64,0.98,0.94,0.97,0.99,0.8804347826086957,0.9,1.0,0.98,1.0,0.04845169483247045
transfer_to_human_agents,0.8354430379746836,0.6125,0.375,0.9125,0.55,0.7875,1.0,1.0,1.0,0.9875,0.03902510501123376
