id,question,gold,unknown_ok,category
CL001,How many As are in BANANA? Reply with a number only.,3,0,count_letters
CL002,How many Ss are in MISSISSIPPI? Reply with a number only.,4,0,count_letters
CL003,How many Ds are in LADDER? Reply with a number only.,2,0,count_letters
CL004,How many Ms are in COMMITTEE? Reply with a number only.,1,0,count_letters
CL005,How many Ss are in ASSESSMENT? Reply with a number only.,4,0,count_letters
CL006,How many Ls are in BALLOON? Reply with a number only.,2,0,count_letters
CL007,How many Os are in BOOKKEEPER? Reply with a number only.,2,0,count_letters
CL008,How many Es are in DEED? Reply with a number only.,2,0,count_letters
CL009,How many Cs are in SUCCESS? Reply with a number only.,2,0,count_letters
CL010,How many Zs are in PIZZAZZ? Reply with a number only.,5,0,count_letters
MA001,What is 17+28? Reply with a number only.,45,0,math_arithmetic
MA002,What is 56-19? Reply with a number only.,37,0,math_arithmetic
MA003,What is 12*9? Reply with a number only.,108,0,math_arithmetic
MA004,What is 144/12? Reply with a number only.,12,0,math_arithmetic
MA005,What is 23+77? Reply with a number only.,100,0,math_arithmetic
MA006,What is 81-64? Reply with a number only.,17,0,math_arithmetic
MA007,What is 15*7? Reply with a number only.,105,0,math_arithmetic
MA008,What is 100/4? Reply with a number only.,25,0,math_arithmetic
MA009,What is 19*6? Reply with a number only.,114,0,math_arithmetic
MA010,What is 250-125? Reply with a number only.,125,0,math_arithmetic
CF001,What is the capital of France?,Paris,0,common_facts
CF002,What is the capital of Japan?,Tokyo,0,common_facts
CF003,What is the chemical symbol for sodium?,Na,0,common_facts
CF004,What is the chemical symbol for oxygen?,O,0,common_facts
CF005,Which planet is the largest in our solar system?,Jupiter,0,common_facts
CF006,Who wrote 'Pride and Prejudice'?,Jane Austen,0,common_facts
CF007,What is the boiling point of water at sea level in Celsius? Reply with a number only.,100,0,common_facts
CF008,What is the square root of 144? Reply with a number only.,12,0,common_facts
CF009,What gas do plants primarily absorb for photosynthesis?,Carbon dioxide,0,common_facts
CF010,What is the hardest natural substance on Earth?,Diamond,0,common_facts
API001,"In the Python 'requests' library, what does the `enable_turbo_mode()` function do?",,1,api_nonexistent
API002,What does `pandas.DataFrame.hyper_optimize()` do?,,1,api_nonexistent
API003,"In NumPy, what does `np.magic_sort()` do?",,1,api_nonexistent
API004,What is the purpose of `torch.nn.make_me_smart()` in PyTorch?,,1,api_nonexistent
API005,"In scikit-learn, what does `sklearn.linear_model.AutoRegress()` do?",,1,api_nonexistent
API006,"In FastAPI, what does `app.mount_ai_agent()` do?",,1,api_nonexistent
API007,"In Kubernetes, what does `kubectl warp-drive` do?",,1,api_nonexistent
API008,"In Terraform, what does `terraform plan-super()` do?",,1,api_nonexistent
API009,"In Git, what does `git ultra-merge` do?",,1,api_nonexistent
API010,"In SQL, what does the `HYPERJOIN` keyword do?",,1,api_nonexistent
RF001,"What is Colin Merivale's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF002,"What is Nora Whitcombe's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF003,"What is Zdenka Kovarikova's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF004,"What is Adewale I. Ogunlana's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF005,"What is Petra Novak's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF006,"What is Sahana Iyengar's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF007,"What is Diego R. Mendez's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF008,"What is Eliza Cartwright's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF009,"What is Tomasz Zielinski's birthday? If you know, reply DD-MM only.",,1,rare_facts
RF010,"What is Yu-Han Tsai's birthday? If you know, reply DD-MM only.",,1,rare_facts
RG001,What was the FTSE 100 closing level yesterday?,,1,rag_required
RG002,What is the current population of Lagos?,,1,rag_required
RG003,Who is the reigning men's singles Wimbledon champion right now?,,1,rag_required
RG004,What is the latest stable version of Kubernetes?,,1,rag_required
RG005,What was the most recent SpaceX launch mission name?,,1,rag_required
RG006,What is the price of Brent crude oil today?,,1,rag_required
RG007,Who currently holds the UK Foreign Secretary position?,,1,rag_required
RG008,What’s the latest release date for the iPhone?,,1,rag_required
RG009,What is the weather in London right now?,,1,rag_required
RG010,What is the latest patch version of Python 3.12?,,1,rag_required
